"Volcano Number","Volcano Name","Country","Volcanic Region Group","Volcanic Region","Volcano Landform","Primary Volcano Type","Activity Evidence","Last Known Eruption","Latitude","Longitude","Elevation (m)","Dominant Rock Type","Tectonic Setting"
"355819","Porquesa","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Minor","Lava dome(s)",NA,NA,"-19.957999999999998","-68.73","5190",NA,"Subduction zone / Continental crust (>25 km)"
"355820","Napa, Cerro","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-20.52","-68.680000000000007","5145",NA,"Unknown"
"355822","Copa-Ocana","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano(es)",NA,NA,"-20.643000000000001","-68.438999999999993","5299",NA,"Unknown"
"355823","Aucanquilcha","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-21.22","-68.47","6176",NA,"Subduction zone / Continental crust (>25 km)"
"355824","San Agustin, Cerro","Bolivia","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-21.25","-67.75","4980",NA,"Subduction zone / Continental crust (>25 km)"
"355825","Cañapa","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-21.5","-68.12","5630",NA,"Subduction zone / Continental crust (>25 km)"
"355826","Ascotan, Cerro","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-21.68","-68.12","5473",NA,"Unknown"
"355827","Escala","Bolivia","South America Volcanic Regions","Central Andean Volcanic Arc","Minor","Lava dome",NA,NA,"-21.6","-66.88","4000",NA,"Subduction zone / Continental crust (>25 km)"
"355828","Moiro, Cerro","Bolivia","South America Volcanic Regions","Central Andean Volcanic Arc","Minor","Pyroclastic cone",NA,NA,"-21.68","-67.47","4250",NA,"Subduction zone / Continental crust (>25 km)"
"355829","Chascon, Cerro","Bolivia","South America Volcanic Regions","Central Andean Volcanic Arc","Minor","Lava dome",NA,NA,"-21.88","-67.900000000000006","5125",NA,"Subduction zone / Continental crust (>25 km)"
"355830","Apagado","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-22.05","-67.97","5680",NA,"Unknown"
"355831","Paniri","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-22.059000000000001","-68.227999999999994","5946",NA,"Subduction zone / Continental crust (>25 km)"
"355832","Leon, Cerro del","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano(es)",NA,NA,"-22.141999999999999","-68.108000000000004","5754",NA,"Subduction zone / Continental crust (>25 km)"
"355833","Deslinde","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-22.27","-67.97","5651",NA,"Unknown"
"355834","Linzor, Volcan","Chile-Bolivia","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-22.18","-67.95","5680",NA,"Subduction zone / Continental crust (>25 km)"
"355835","Jorcada","Bolivia","South America Volcanic Regions","Central Andean Volcanic Arc","Cluster","Stratovolcano",NA,NA,"-22.08","-67.77","5750",NA,"Subduction zone / Continental crust (>25 km)"
"355836","Quetena","Bolivia","South America Volcanic Regions","Central Andean Volcanic Arc","Cluster","Fissure vent",NA,NA,"-22.25","-67.42","5730",NA,"Subduction zone / Continental crust (>25 km)"
"355837","Sunequera","Bolivia","South America Volcanic Regions","Central Andean Volcanic Arc","Shield","Shield",NA,NA,"-21.98","-67.23","5899",NA,"Subduction zone / Continental crust (>25 km)"
"355838","Uturuncu","Bolivia","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-22.27","-67.180000000000007","6008",NA,"Subduction zone / Continental crust (>25 km)"
"355840","Tatio, Volcan","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-22.42","-68.02","5314",NA,"Unknown"
"355841","Volcan, El","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-22.33","-67.97","5100",NA,"Subduction zone / Continental crust (>25 km)"
